format,archetype,core_pokemon,win_condition
Smogon OU,Hyper Offense,"Great Tusk, Dragonite, Kingambit, Iron Valiant, Roaring Moon, Gholdengo",Overwhelm with speed/power before opponent can set up
Smogon OU,Balance,"Corviknight, Ting-Lu, Gholdengo, Great Tusk, Slowking-Galar, Kingambit",Hazard stack + chip damage + late-game sweeper
Smogon OU,Sun,"Torkoal, Ogerpon-Wellspring, Raging Bolt, Iron Valiant, Great Tusk, Hatterene",Drought-boosted Fire attacks and Chlorophyll sweepers
Smogon OU,Trick Room,"Hatterene, Dragapult, Rillaboom, Kingambit, Ting-Lu, Gliscor",Reverse speed order; win with slow powerful attackers
Smogon OU,Stall,"Corviknight, Gliscor, Clodsire, Slowking-Galar, Ting-Lu, Hatterene",Toxic + Hazards + Regenerator chip wins long game
VGC Reg I,Calyrex-Shadow HO,"Calyrex-Shadow, Incineroar, Flutter Mane, Urshifu, Tornadus, Rillaboom",Tailwind + Calyrex-Shadow sweeps with Astral Barrage
VGC Reg I,Calyrex-Ice Trick Room,"Calyrex-Ice, Incineroar, Farigiraf, Ursaluna, Amoonguss, Rillaboom",Trick Room + Glacial Lance OHKO; Grassy Terrain recovery
VGC Reg I,Miraidon Rain,"Miraidon, Kyogre, Incineroar, Flutter Mane, Rillaboom, Tornadus",Electric Terrain + Rain; Miraidon + Kyogre nuke everything
VGC Reg I,Koraidon Sun,"Koraidon, Incineroar, Flutter Mane, Urshifu, Rillaboom, Whimsicott",Harsh Sun + Orichalcum Pulse boosts Flare Blitz/Collision Course
VGC Reg I,Zamazenta Balance,"Zamazenta, Incineroar, Raging Bolt, Chien-Pao, Amoonguss, Tornadus",Dauntless Shield + speed; outlast restricted pairs with pivoting
